index,Area,Item,Year,Price,continent
66,Angola,"Coffee, green",2010,511.4,Africa
67,Angola,"Coffee, green",2011,702.6,Africa
92,Argentina,Tea,1991,49.8,Americas
93,Argentina,Tea,1992,50.5,Americas
94,Argentina,Tea,1993,63.1,Americas
95,Argentina,Tea,1994,56.1,Americas
96,Argentina,Tea,1995,42.0,Americas
97,Argentina,Tea,1996,53.0,Americas
98,Argentina,Tea,1997,51.0,Americas
99,Argentina,Tea,1998,70.0,Americas
100,Argentina,Tea,1999,47.0,Americas
101,Argentina,Tea,2000,46.0,Americas
102,Argentina,Tea,2001,40.0,Americas
103,Argentina,Tea,2006,69.8,Americas
104,Argentina,Tea,2007,68.6,Americas
105,Argentina,Tea,2008,66.9,Americas
106,Argentina,Tea,2009,56.4,Americas
107,Argentina,Tea,2010,92.3,Americas
108,Argentina,Tea,2011,107.5,Americas
109,Argentina,Tea,2012,127.6,Americas
110,Argentina,Tea,2013,137.4,Americas
111,Argentina,Tea,2014,103.7,Americas
112,Argentina,Tea,2015,99.5,Americas
113,Argentina,Tea,2016,78.3,Americas
114,Argentina,Tea,2017,90.6,Americas
115,Argentina,Tea,2018,58.7,Americas
254,Azerbaijan,Tea,1994,288.6,Asia
255,Azerbaijan,Tea,1995,285.0,Asia
256,Azerbaijan,Tea,1996,228.5,Asia
257,Azerbaijan,Tea,1997,234.6,Asia
258,Azerbaijan,Tea,1998,187.4,Asia
259,Azerbaijan,Tea,1999,103.2,Asia
260,Azerbaijan,Tea,2000,116.2,Asia
261,Azerbaijan,Tea,2001,156.8,Asia
262,Azerbaijan,Tea,2002,195.4,Asia
263,Azerbaijan,Tea,2003,221.0,Asia
264,Azerbaijan,Tea,2004,235.1,Asia
265,Azerbaijan,Tea,2005,284.5,Asia
266,Azerbaijan,Tea,2006,310.1,Asia
267,Azerbaijan,Tea,2007,382.2,Asia
268,Azerbaijan,Tea,2008,539.2,Asia
269,Azerbaijan,Tea,2009,622.0,Asia
270,Azerbaijan,Tea,2010,872.1,Asia
271,Azerbaijan,Tea,2011,1013.0,Asia
272,Azerbaijan,Tea,2012,1018.3,Asia
273,Azerbaijan,Tea,2013,1092.4,Asia
274,Azerbaijan,Tea,2014,1132.2,Asia
275,Azerbaijan,Tea,2015,921.3,Asia
276,Azerbaijan,Tea,2016,592.2,Asia
277,Azerbaijan,Tea,2017,551.9,Asia
278,Azerbaijan,Tea,2018,541.2,Asia
279,Azerbaijan,Tea,2019,600.0,Asia
342,Belize,"Cocoa, beans",2002,2204.5,Americas
343,Belize,"Coffee, green",2002,1488.0,Americas
344,Belize,"Cocoa, beans",2003,2204.5,Americas
