Area,Item,Element,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Gross Domestic Product,Value US$,3621.600007,3340.1000050000002,3474.600007,2664.399992,2114.6,3236.3,3124.359411,3016.290743,2911.960069,2719.992175,3531.869351,3620.52525,4285.170218,4935.549827000001,5586.984096,6621.833827,7514.261673,10380.165236,10768.48057,12572.598112,16077.921038,19170.467659,21330.874642,21610.365221,21330.660728,20608.090681,20235.070056,21515.502135,20513.883243
Albania,Gross Domestic Product,Value US$,2145.7745210000003,1597.156849,1516.1491800000001,1700.439874,1880.9508210000001,2392.7648870000003,3199.6420239999998,2224.654241,2554.868837,3221.670165,3487.586302,3926.887597,4355.865889,5561.459461,7177.0303650000005,8052.079314,8896.076004,10677.32222,12881.352058,12044.21039,11926.948284,12890.873323,12319.779604000001,12776.280738,13228.240079000001,11386.924853,11861.356451,13025.068581,15058.883769999999
Algeria,Gross Domestic Product,Value US$,61751.375957000004,46565.003199,49105.553595,50846.930343,42330.711146,41971.48842,46836.290499,48068.457028,48079.007974,48531.031757,54666.89685700001,55056.733057000005,56819.210890999995,67863.851626,85332.517817,103198.216067,117027.277939,134977.088396,171000.692135,137211.008421,161207.30495999998,200019.103013,209059.083118,209755.003251,213809.97948,165979.119045,160034.2117,167389.890425,173757.48751600002
Andorra,Gross Domestic Product,Value US$,1302.006184,1400.576915,1531.034035,1274.297409,1287.524766,1491.4959880000001,1548.787643,1493.901088,1533.515782,1568.801032,1434.428602,1496.899357,1733.195719,2398.553103,2935.78899,3255.711088,3543.069407,4016.771107,4007.494572,3660.303821,3355.493859,3442.272768,3164.644159,3281.764413,3350.604237,2811.6144879999997,2877.200509,3020.8523149999996,3238.225156
Angola,Gross Domestic Product,Value US$,13661.85235,16182.941506000001,18586.043029,13468.133856,13860.715824,6642.229262,8725.773842,10226.790656000001,8617.787794,8227.190091,12207.354573,11948.601236,15285.592487,17812.704626,23552.04585,36970.878079,52381.025105,65266.41570700001,88538.664888,70307.19322100001,83799.47893,111789.745968,128052.91343800002,136709.891897,145712.17532799998,116193.64751300002,101123.83001,122123.858628,105902.340903
Anguilla,Gross Domestic Product,Value US$,75.60176,77.720091,84.450416,92.101084,102.769858,103.736474,109.541316,122.67290600000001,138.637505,147.301063,149.959259,154.922222,157.444444,169.777778,201.174074,229.11445,284.263748,355.278072,354.325897,282.504032,267.930744,292.41583199999997,280.111741,281.800591,311.310068,330.534859,317.12620400000003,281.19311,293.010293
Antigua and Barbuda,Gross Domestic Product,Value US$,459.47037,481.70740700000005,499.281481,535.174074,589.42963,577.281481,633.7296299999999,680.618519,727.859259,766.2,826.37037,800.4814809999999,814.381481,856.3962960000001,919.72963,1022.9629630000001,1157.662963,1312.759259,1370.07037,1228.3296300000002,1148.7,1137.637037,1199.948148,1181.448148,1249.733333,1336.692593,1436.585185,1467.977778,1610.574074
Argentina,Gross Domestic Product,Value US$,153185.723202,205589.521324,247929.419773,256573.074883,279266.99240700004,279701.425371,295030.76861100004,317532.579013,324135.104738,307410.16202,308148.233467,291334.71827199997,110583.59031700001,140444.139675,165947.750429,200622.205937,234391.23416700002,289755.142707,365644.37665,336359.389616,426487.43487399997,530158.1766819999,581430.9043930001,613316.0273569999,567050.1453430001,644903.200499,557532.317366,642695.596034,518475.287872
Armenia,Gross Domestic Product,Value US$,2301.747236,2101.680494,1251.990701,1168.729484,1257.2761,1372.097033,1703.037605,1747.514993,2017.852886,1968.057835,2038.534803,2259.1082079999996,2534.163311,2993.550393,3814.1766939999998,5225.97185,6808.524718000001,9817.806812,12436.664185,9222.356746,9875.377779,10815.777611,10619.320693000001,11121.46443,11609.513240999999,10553.337528,10546.13624,11527.458713,12433.142778
Aruba,Gross Domestic Product,Value US$,855.8002449999999,975.7995960000001,1072.3844390000002,1211.700758,1393.884833,1383.9326939999999,1445.987206,1605.221425,1745.136786,1805.3238079999999,1963.193998,2012.2495629999999,2034.0763829999999,2118.129477,2335.011753,2442.664622,2537.467525,2736.839973,2873.068068,2615.228626,2501.8026579999996,2668.4335899999996,2652.647502,2701.7597769999998,2765.26257,2919.502793,2965.865922,3056.2067039999997,3203.132961
Australia,Gross Domestic Product,Value US$,323813.934851,329582.923025,326067.30323200003,317329.452725,362582.12235300004,391094.358364,434546.46949700004,436474.491235,389577.812515,426567.953805,408774.988018,390108.83437199995,435171.31311800005,558422.134392,678337.418023,760939.512578,818233.984854,985139.395309,1057010.4864069999,1014835.7166790001,1299463.076449,1546688.928146,1590707.559043,1543216.3475040002,1464256.128284,1248853.700525,1311696.155002,1416105.432089,1453870.54738
Austria,Gross Domestic Product,Value US$,166467.816276,173789.680811,195071.77565599998,190369.886016,203545.936709,241054.444975,237264.783294,212786.26675,218254.630506,217179.47608000002,196799.62778699998,197336.113323,213387.477629,261685.687441,300917.29836799996,315966.559717,335981.345831,388671.495783,430310.227057,400148.193471,391892.746545,431120.31008900004,409425.234155,430068.712972,441996.13173699996,381817.565894,395227.68413899996,418316.161096,455508.255028
Azerbaijan,Gross Domestic Product,Value US$,6518.069399,6691.325122,5297.112234,4169.972436999999,3421.911274,3080.800305,3176.55449,3962.337296,4446.396218,4581.222442,5272.617196,5707.618246999999,6236.045524,7276.413079000001,8680.410158,13245.421881,20981.929497999998,33049.426816,48851.318826,44292.408817,52905.998879,65952.763949,69679.91351,74160.55300900001,75239.73748899999,53076.244755,37867.007023,40866.632048,46939.128048
Bahamas,Gross Domestic Product,Value US$,4767.541687,4685.397547,4682.3848,4656.325033,4907.552998,5164.608418,5862.51396,6332.4,6833.2,7683.9,8076.5,8317.8,8881.2,8870.1,9055.3,9836.2,10167.3,10618.3,10526.0,9982.0,10095.8,10070.4,10720.5,10562.7,10913.3,11752.3,11938.4,12150.4,12424.5
