Area,Item,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,Apples,0.0,0.0,461.0,0.0,323.6,325.4,253.1,248.9,270.2,257.5,257.9,274.7,317.6,375.6,390.5,428.1,486.6,476.8,463.3,356.0,386.5,369.7,492.1,474.8,389.0,381.3,461.6,435.2,346.7
Albania,Apricots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.2,530.1,486.6,452.9,526.4,452.2,584.8,489.9,823.3,758.4,746.3,732.1,599.1,777.8,909.8
Albania,Barley,0.0,0.0,0.0,0.0,0.0,287.1,248.4,325.3,305.0,313.1,299.7,306.8,352.9,401.8,400.5,305.8,337.3,464.9,410.6,307.9,339.0,316.1,482.6,431.4,341.4,319.7,303.6,302.2,306.1
Albania,"Beans, dry",0.0,0.0,447.0,0.0,873.8,602.9,725.2,956.0,806.2,528.8,808.4,770.6,593.3,1053.7,1173.5,1181.4,1017.4,1609.2,1642.5,1356.6,1328.1,1562.1,2403.7,2059.6,1738.6,1661.7,1710.4,2078.7,1978.8
Albania,"Beans, green",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.4,753.7,0.0,767.5,848.8,976.7,1090.4
Albania,Cabbages and other brassicas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.4,224.3,165.9,298.0,221.1,211.7,287.4,203.4,331.2,214.9,317.6,202.1,180.6,206.7,357.2
Albania,Carrots and turnips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.6,387.3,530.8,381.4,452.7,384.9,386.5,305.0,586.7,446.4,396.9,377.5,370.3,391.4,428.8
Albania,Cauliflowers and broccoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.4,608.2,584.1,958.1,702.4,1011.0,637.8,1050.5,937.0,714.5,760.9,891.3,784.0,693.7
Albania,Cherries,0.0,0.0,0.0,0.0,561.0,555.0,483.4,438.2,493.9,535.8,539.4,570.8,656.5,764.7,1001.3,1172.2,1050.6,1370.8,1126.6,894.8,664.1,952.1,1618.3,1358.9,746.3,1169.7,1346.6,641.9,1046.5
Albania,Chestnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.7,497.6,476.8,515.9,481.1,872.2,813.4,1182.9,1615.5,1190.8,1256.1,1640.4,1032.7,1680.8
Albania,"Chillies and peppers, green",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.5,519.8,500.6,353.8,428.1,509.4,364.2,492.1,303.4,277.9,317.5,0.0,0.0,410.6
Albania,Cucumbers and gherkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.6,407.7,475.5,476.8,452.7,336.7,406.4,332.8,690.8,626.5,531.9,481.7,553.7,470.2,539.8
Albania,Dates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.5,231.1,454.2,402.0,254.0,342.7,346.3,369.8,372.8
Albania,Eggplants (aubergines),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.6,364.9,286.1,347.4,586.9,624.4,406.7,766.5,617.3,547.8,487.9,841.9,750.3,718.4
Albania,"Eggs, hen, in shell",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.9,1664.3,1478.7,1597.1,1709.4,2017.3,2209.4,2273.7,2208.5,2810.7,3029.5,2632.1,2405.3,2322.1,2165.6,1971.5,3143.7,3061.7,2946.5,3108.0,3358.5,166.6
Albania,Figs,0.0,0.0,0.0,0.0,229.8,199.0,268.6,283.5,302.1,294.3,349.9,397.4,477.6,564.3,610.8,601.4,774.1,405.3,537.0,548.4,594.7,656.3,832.8,676.3,698.6,724.5,911.4,1052.0,1178.0
Albania,"Fruit, fresh nes",0.0,0.0,0.0,0.0,399.1,516.8,449.9,431.5,424.1,368.8,404.2,513.7,375.8,544.9,520.7,530.1,652.5,607.9,558.0,529.2,792.9,674.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Garlic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.3,1223.2,1105.9,1203.9,1179.2,1106.4,1605.6,758.0,1192.4,1442.6,1468.7,1623.5,1903.0,1924.8,1918.2
Albania,Grapes,0.0,0.0,0.0,0.0,287.0,325.4,308.9,385.0,399.4,358.4,314.3,379.6,428.3,580.9,640.8,632.0,652.5,607.9,537.0,596.5,584.8,610.1,776.0,870.3,539.9,561.8,694.5,619.0,636.4
Albania,"Honey, natural",0.0,0.0,4375.6,3117.6,0.0,0.0,0.0,0.0,0.0,3270.5,3275.6,3567.5,4349.1,5448.5,6818.8,7706.2,8327.1,10942.3,10508.1,10102.3,10732.2,11547.3,11261.6,11017.2,11510.0,11957.8,11181.7,12290.4,12261.9
Albania,"Leeks, other alliaceous vegetables",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.4,295.6,210.1,286.1,252.7,433.0,247.8,240.3,425.9,249.9,317.6,244.5,278.5,282.3,519.4
Albania,Lemons and limes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.1,733.9,752.0,1168.1,1010.8,615.8,604.6,637.8,899.0,730.0,539.9,729.9,1055.3,843.0,763.6
Albania,Lettuce and chicory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.3,815.5,652.5,786.7,800.2,635.0,634.3,591.6,936.9,582.3,555.7,500.6,616.0,659.0,693.2
Albania,Maize,0.0,0.0,243.2,209.3,183.4,248.8,235.0,245.6,232.4,201.8,177.0,193.4,233.0,276.3,255.3,240.6,353.9,393.4,284.3,288.6,386.5,360.5,416.4,353.9,293.7,290.2,278.7,300.3,277.0
Albania,"Meat live weight, cattle",0.0,0.0,1565.8,1040.9,1089.8,1225.5,993.5,1578.4,1926.8,2139.7,2181.4,2297.5,2710.8,3269.1,3003.9,2986.6,3080.9,3444.5,3488.3,3498.6,3704.9,3571.5,3567.8,3419.3,3022.4,3058.8,3199.6,3569.9,3536.4
Albania,"Meat live weight, chicken",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,1365.2,1308.0,1378.2,1496.7,1795.4,2136.1,2040.2,2077.0,2220.0,2392.9,2852.8,2645.6,2518.8,3169.8,3605.6,4296.3,2745.7,2412.3,2469.7,2829.8,2755.2
Albania,"Meat live weight, duck",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6416.3,0.0,0.0,0.0,0.0,0.0,0.0
Albania,"Meat live weight, goat",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.7,2033.5,2087.5,2125.7,2211.8,2625.9,3113.4,2953.8,2956.1,3207.0,3310.1,3432.4,3309.7,3570.0,3305.1,2999.9,2427.0,2711.4,2096.8,2192.0,2386.6,2328.1
Albania,"Meat live weight, goose",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7504.6,0.0,0.0,0.0,0.0,0.0,0.0
Albania,"Meat live weight, pig",0.0,0.0,1924.3,1599.0,1935.3,2090.0,1571.2,1789.3,2042.6,1983.2,2069.9,2247.5,2650.5,3113.4,2933.8,2854.1,2886.3,3042.1,2927.0,2788.6,2948.5,2749.1,2858.0,3125.4,2737.0,2787.7,2961.6,3325.6,3297.9
Albania,"Meat live weight, sheep",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.8,1946.4,2129.3,2174.4,2283.2,2666.9,3210.7,2973.9,2956.1,3207.0,3310.1,3655.8,3456.0,3636.5,3381.2,3075.7,2707.5,2749.8,2162.7,2181.3,2520.3,2364.7
Albania,"Meat live weight, turkey",0.0,0.0,2713.0,2500.1,2750.9,2727.3,2215.8,2788.2,3159.3,3026.9,3047.4,3424.8,4271.2,5305.0,2515.8,3058.0,3193.2,3316.0,3958.2,4340.4,4754.4,4507.3,5204.9,5915.9,4787.2,5161.5,5422.2,5580.6,5920.1
Albania,"Meat, cattle",0.0,0.0,3116.2,2071.4,2481.2,2870.8,2350.1,3100.2,3595.0,3660.2,3895.9,4231.0,4997.4,6032.3,5547.2,5463.6,5927.4,6708.4,7054.3,6494.4,7572.2,6493.5,6731.6,6451.5,5702.6,5771.4,6037.0,6735.7,0.0
Albania,"Meat, chicken",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.1,1815.7,1739.6,1832.9,1990.7,2387.9,2841.0,2713.5,2762.4,2952.6,3182.6,3337.6,3049.9,3350.0,4528.2,4807.5,5728.4,3660.9,3216.3,3292.9,3773.1,0.0
Albania,"Meat, goat",0.0,0.0,4330.1,3438.0,1723.2,1965.3,1762.0,2788.2,3159.3,3298.3,3338.3,3546.1,4152.2,4962.1,4836.3,4892.8,5308.1,5661.9,7075.3,6494.4,7562.3,7032.2,5172.3,4184.5,4674.8,3615.2,3779.3,0.0,0.0
Albania,"Meat, pig",0.0,0.0,2502.0,2078.8,2481.2,2679.5,2014.3,2290.3,2614.6,2748.6,2822.6,3353.4,4012.7,4757.7,4375.7,4077.3,4644.6,5006.3,5474.9,5031.9,5580.1,5546.1,4202.9,5028.4,4025.0,4099.6,4355.4,4890.6,0.0
Albania,"Meat, sheep",0.0,0.0,3085.5,2843.4,3128.7,3101.8,2520.1,2987.4,3268.2,3381.8,3519.5,3845.8,4513.3,5497.2,5507.1,5402.5,5861.0,6198.3,7001.6,6398.1,7354.2,7193.3,5492.2,4834.8,4910.3,3861.9,3895.2,4500.6,0.0
Albania,"Meat, turkey",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3717.6,4212.3,4035.9,4063.1,4566.4,5694.9,7073.4,3354.4,4077.3,4257.5,4410.3,5264.4,5772.8,6323.4,6008.2,6939.9,7887.8,6382.9,6882.0,7229.6,7440.8,0.0
Albania,"Melons, other (inc.cantaloupes)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.5,367.0,298.6,345.7,294.8,375.2,337.0,323.5,511.0,450.3,379.5,361.0,432.5,383.8,411.8
Albania,"Milk, whole fresh cow",0.0,0.0,344.4,0.0,215.8,191.4,235.0,232.4,261.5,285.3,287.1,295.4,341.4,406.7,405.5,399.6,429.1,441.6,418.5,448.1,498.6,523.1,444.8,395.0,418.5,328.5,350.2,371.8,373.9
Albania,"Milk, whole fresh goat",0.0,0.0,326.1,295.9,235.2,210.5,194.7,193.8,217.9,222.7,223.0,228.3,264.2,330.8,340.4,356.8,381.5,405.3,480.6,442.6,488.6,740.9,520.5,526.2,415.4,450.6,461.1,453.7,477.4
Albania,"Milk, whole fresh sheep",0.0,0.0,389.4,394.2,431.5,449.8,423.0,232.4,276.0,292.3,292.7,299.7,345.5,467.0,470.6,468.9,503.2,530.4,472.2,433.0,497.5,716.1,785.5,736.6,436.0,650.9,665.6,755.5,747.2
Albania,Nuts nes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3283.8,3536.2,3151.8,3050.6,3540.8,4112.6,3871.7
Albania,Oats,0.0,0.0,0.0,0.0,215.8,258.4,194.7,192.5,214.2,208.8,209.1,214.0,246.2,340.5,340.4,356.8,303.0,405.3,358.0,346.1,367.7,342.9,463.7,373.7,317.6,329.1,322.4,342.9,339.9
Albania,Okra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.3,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Olives,0.0,0.0,0.0,0.0,248.1,430.6,362.6,398.3,435.8,338.2,460.0,535.1,814.8,668.4,500.6,886.8,1465.3,1573.4,1379.3,1241.1,1486.7,693.3,1447.9,1705.7,1429.0,1447.8,1606.9,1025.9,1721.5
