Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2005","2005","7021","Annual value","SLC","100000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2006","2006","7021","Annual value","SLC","80000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2007","2007","7021","Annual value","SLC","59000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2008","2008","7021","Annual value","SLC","66000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2009","2009","7021","Annual value","SLC","76000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2010","2010","7021","Annual value","SLC","66000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2011","2011","7021","Annual value","SLC","64000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2012","2012","7021","Annual value","SLC","64000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2013","2013","7021","Annual value","SLC","99000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2014","2014","7021","Annual value","SLC","61416.7","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2015","2015","7021","Annual value","SLC","70000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2016","2016","7021","Annual value","SLC","62145.5","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2017","2017","7021","Annual value","SLC","73365.7","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2018","2018","7021","Annual value","SLC","71159.6","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2019","2019","7021","Annual value","SLC","76150.4","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2005","2005","7021","Annual value","USD","1001.3","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2006","2006","7021","Annual value","USD","815.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2007","2007","7021","Annual value","USD","652.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2008","2008","7021","Annual value","USD","786.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2009","2009","7021","Annual value","USD","800.2","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2010","2010","7021","Annual value","USD","635","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2011","2011","7021","Annual value","USD","634.3","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2012","2012","7021","Annual value","USD","591.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2013","2013","7021","Annual value","USD","936.9","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2014","2014","7021","Annual value","USD","582.3","","Official data"
